Duration,AttackType,Count,DestinationBytes,DiffSrvRate,DifficultyLevel,DstHostCount,DstHostDiffSrvRate,DstHostRerrorRate,DstHostSameSrcPortRate,DstHostSameSrvRate,DstHostSerrorRate,DstHostSrvCount,DstHostSrvDiffHostRate,DstHostSrvRerrorRate,DstHostSrvSerrorRate,Flag,Hot,IsGuestLogin,IsHostLogin,Land,LoggedIn,NumAccessFiles,NumCompromised,NumFailedLogins,NumFileCreations,NumOutboundCmds,NumRoot,NumShells,ProtocolType,RerrorRate,RootShell,SameSrvRate,SerrorRate,Service,SourceBytes,SrvCount,SrvDiffHostRate,SrvRerrorRate,SrvSerrorRate,SuAttempted,Urgent,WrongFragment
37274,portsweep,2,0,0.0,15,255,0.5,1.0,1.0,0.009999999776482582,0.0,2,0.0,1.0,0.0,RSTR,0,0,0,0,0,0,0,0,0,0,0,0,tcp,1.0,0,1.0,0.0,private,1,2,0.0,1.0,0.0,0,0,0
3190,normal,5,105,0.6000000238418579,21,255,0.7900000214576721,0.0,0.9800000190734863,0.009999999776482582,0.0,2,0.0,0.0,0.0,SF,0,0,0,0,0,0,0,0,0,0,0,0,udp,0.0,0,0.20000000298023224,0.0,other,146,1,0.0,0.0,0.0,0,0,0
8376,normal,4,105,0.5,21,255,0.4399999976158142,0.0,0.9300000071525574,0.009999999776482582,0.0,2,0.0,0.0,0.0,SF,0,0,0,0,0,0,0,0,0,0,0,0,udp,0.0,0,0.5,0.0,other,147,2,0.0,0.0,0.0,0,0,0
14400,portsweep,2,0,0.0,15,255,0.6800000071525574,1.0,1.0,0.009999999776482582,0.0,2,0.0,1.0,0.0,RSTR,0,0,0,0,0,0,0,0,0,0,0,0,tcp,1.0,0,1.0,0.0,other,1,2,0.0,1.0,0.0,0,0,0
17257,portsweep,2,0,0.0,15,255,0.7300000190734863,1.0,1.0,0.009999999776482582,0.0,2,0.0,1.0,0.0,RSTR,0,0,0,0,0,0,0,0,0,0,0,0,tcp,1.0,0,1.0,0.0,other,1,2,0.0,1.0,0.0,0,0,0
242,xterm,1,27200,0.0,0,2,0.0,0.0,0.5,1.0,0.0,2,0.0,0.0,0.0,SF,2,0,0,0,1,2,165,0,3,0,173,0,tcp,0.0,1,1.0,0.0,telnet,504,1,0.0,0.0,0.0,0,1,0
4675,normal,1,81673,0.0,20,255,0.9599999785423279,0.0,0.0,0.0,0.949999988079071,1,0.0,0.0,0.0,SF,2,0,0,0,1,0,2,1,1,0,0,0,tcp,0.0,0,1.0,0.0,telnet,459,1,0.0,0.0,0.0,0,0,0
11155,normal,1,3112,0.0,19,47,0.10999999940395355,0.05999999865889549,0.019999999552965164,0.15000000596046448,0.03999999910593033,7,0.0,0.0,0.14000000059604645,SF,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,0.0,telnet,104,1,0.0,0.0,0.0,0,0,0
150,normal,1,143899,0.0,19,51,0.05999999865889549,0.0,0.019999999552965164,0.05999999865889549,0.019999999552965164,3,0.0,0.0,0.33000001311302185,SF,0,0,0,0,1,0,1,0,0,0,0,0,tcp,0.0,0,1.0,0.0,telnet,169,1,0.0,0.0,0.0,0,0,0
3613,normal,1,105,0.0,21,255,0.6399999856948853,0.0,0.8999999761581421,0.0,0.0,1,0.0,0.0,0.0,SF,0,0,0,0,0,0,0,0,0,0,0,0,udp,0.0,0,1.0,0.0,other,147,1,0.0,0.0,0.0,0,0,0
